img_id,img_filename,y,split,place,group_id,place_filename
5635,097.Orchard_Oriole/Orchard_Oriole_0080_91417.jpg,0,0,0,0,/b/bamboo_forest/00003772.jpg
5992,103.Sayornis/Sayornis_0109_98906.jpg,0,0,0,0,/f/forest/broadleaf/00001673.jpg
7156,123.Henslow_Sparrow/Henslow_Sparrow_0009_796611.jpg,0,0,0,0,/f/forest/broadleaf/00002262.jpg
1850,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0049_26766.jpg,0,0,0,0,/b/bamboo_forest/00000761.jpg
10878,185.Bohemian_Waxwing/Bohemian_Waxwing_0046_177864.jpg,0,0,0,0,/b/bamboo_forest/00003780.jpg
588,011.Rusty_Blackbird/Rusty_Blackbird_0074_6585.jpg,0,0,0,0,/b/bamboo_forest/00001773.jpg
8814,150.Sage_Thrasher/Sage_Thrasher_0103_155575.jpg,0,0,0,0,/f/forest/broadleaf/00002510.jpg
7937,136.Barn_Swallow/Barn_Swallow_0073_131389.jpg,0,0,0,0,/b/bamboo_forest/00002680.jpg
225,004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg,0,0,0,0,/b/bamboo_forest/00002306.jpg
5583,096.Hooded_Oriole/Hooded_Oriole_0126_90319.jpg,0,0,0,0,/f/forest/broadleaf/00004216.jpg
6510,112.Great_Grey_Shrike/Great_Grey_Shrike_0064_106778.jpg,0,0,0,0,/b/bamboo_forest/00003626.jpg
10788,184.Louisiana_Waterthrush/Louisiana_Waterthrush_0004_177455.jpg,0,0,0,0,/b/bamboo_forest/00004237.jpg
3265,057.Rose_breasted_Grosbeak/Rose_Breasted_Grosbeak_0068_39094.jpg,0,0,0,0,/f/forest/broadleaf/00004006.jpg
2007,036.Northern_Flicker/Northern_Flicker_0132_28313.jpg,0,0,0,0,/f/forest/broadleaf/00000925.jpg
5636,097.Orchard_Oriole/Orchard_Oriole_0042_91678.jpg,0,0,0,0,/b/bamboo_forest/00003094.jpg
4561,079.Belted_Kingfisher/Belted_Kingfisher_0047_70705.jpg,0,0,0,0,/f/forest/broadleaf/00002591.jpg
8089,138.Tree_Swallow/Tree_Swallow_0019_137073.jpg,0,0,0,0,/b/bamboo_forest/00004737.jpg
